Tên,Link
"Điều chỉnh, bổ sung thông tin trong giấy phép thành lập văn phòng đại diện tại Việt Nam của Nhà Xuất bản nước ngoài, tổ chức phát hành xuất bản phẩm nước ngoài",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.005105
"Cấp Giấy chứng nhận chất lượng an toàn kỹ thuật và bảo vệ môi trường trong sản xuất, lắp ráp xe mô tô, xe gắn máy",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004985
"Cấp Giấy chứng nhận chất lượng an toàn kỹ thuật và bảo vệ môi trường xe mô tô, xe gắn máy nhập khẩu và động cơ nhập khẩu sử dụng để lắp ráp xe mô tô, xe gắn máy",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004989
Cấp Giấy chứng nhận chất lượng an toàn kỹ thuật và bảo vệ môi trường xe cơ giới nhập khẩu,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004996
Cấp Giấy chứng nhận thẩm định thiết kế xe cơ giới cải tạo,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001001
"Cấp Giấy chứng nhận thẩm định thiết kế xe cơ giới sản xuất, lắp ráp",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004994
"Công nhận cơ sở đủ điều kiện đóng mới, hoán cải, sửa chữa tàu biển",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001309
Cấp chứng chỉ chất lượng xe máy chuyên dùng nhập khẩu,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.005109
"Cấp Giấy chứng nhận chất lượng an toàn kỹ thuật đối với xe đạp điện được sản xuất, lắp ráp",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004980
Cấp lại giấy phép bưu chính khi hết hạn (cấp tỉnh),dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003633
Cấp giấy phép bưu chính (cấp tỉnh),dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003659
Cấp lại giấy phép bưu chính khi bị mất hoặc hư hỏng không sử dụng được (cấp tỉnh),dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004379
Cấp giấy xác nhận đăng ký hoạt động phát hành xuất bản phẩm,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004159
Cấp lại giấy phép hoạt động in xuất bản phẩm (cấp Trung ương),dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004236
Cấp đổi giấy phép hoạt động in xuất bản phẩm (cấp Trung ương),dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004245
"Cấp phép xuất khẩu dược liệu thuộc danh mục loài, chủng loại dược liệu quý, hiếm, đặc hữu phải kiểm soát",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004393
"Cấp phép nhập khẩu thuốc có chứa dược chất đã có giấy đăng ký lưu hành thuốc tại Việt Nam nhưng chưa đáp ứng đủ nhu cầu điều trị,thuốc có chứa dược liệu đã từng sử dụng làm thuốc tại Việt Nam nhưng chưa đáp ứng đủ nhu cầu điều trị",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004463
"Cấp phép nhập khẩu dược liệu không sử dụng làm mẫu kiểm nghiệm, nghiên cứu thuốc, tham gia trưng bày tại triển lãm, hội chợ, sản xuất thuốc xuất khẩu, sản xuất thuốc phục vụ yêu cầu quốc phòng, an ninh, phòng, chống dịch bệnh, khắc phục hậu quả thiên tai, thảm họa",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004590
"Cấp phép nhập khẩu dược chất, bán thành phẩm thuốc, dược liệu, bán thành phẩm dược liệu để sản xuất thuốc đáp ứng nhu cầu quốc phòng, an ninh, đáp ứng nhu cầu phòng, chống dịch bệnh, khắc phục hậu quả thiên tai, thảm họa, trừ nguyên liệu phải kiểm soát đặc biệt",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004601
Cấp giấy phép hoạt động in xuất bản phẩm (cấp Trung ương),dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004235
"Cấp Giấy chứng nhận lưu hành, tem lưu hành cho xe chở hàng bốn bánh có gắn động cơ",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004325
"Cấp Giấy chứng nhận chất lượng an toàn kỹ thuật và bảo vệ môi trường trong sản xuất, lắp ráp xe chở hàng bốn bánh có gắn động cơ",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004329
Cấp Giấy chứng nhận chất lượng an toàn kỹ thuật và bảo vệ môi trường cho kiểu loại linh kiện xe chở hàng bốn bánh có gắn động cơ,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004334
Đăng ký cung cấp dịch vụ giao dịch chứng khoán trực tuyến,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001868
Đăng ký công ty đại chúng,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004172
Huỷ đăng ký công ty đại chúng,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001411
Công chứng hợp đồng ủy quyền,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001856
Công chứng hợp đồng thế chấp bất động sản,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001069
"Công chứng hợp đồng, giao dịch do công chứng viên soạn thảo theo đề nghị của người yêu cầu công chứng",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003023
"Công chứng hợp đồng, giao dịch soạn thảo sẵn",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003049
"Chấp thuận tiến hành các hoạt động trong vùng nước cảng biển và khu vực quản lý của cảng vụ hàng hải (gồm các hoạt động lặn hoặc các công việc ngầm dưới nước, tàu thuyền thi công công trình hàng hải, tàu thuyền chuyên dùng để nạo vét luồng, khai thác cát hoặc cần cẩu nổi và các thiết bị công trình khác)",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004053
Cấp Phiếu tiếp nhận bản công bố dược liệu sản xuất theo GACP-WHO,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002351
Đăng ký lại mẫu con dấu (thực hiện tại cấp trung ương),dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003173
Đăng ký lại mẫu con dấu (thực hiện tại cấp tỉnh),dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001410
Đăng ký thêm con dấu (thực hiện tại cấp trung ương),dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003184
Đăng ký thêm con dấu (thực hiện tại cấp tỉnh),dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001397
"Cấp lại giấy xác nhận nội dung quảng cáo hóa chất, chế phẩm diệt côn trùng, diệt khuẩn dùng trong lĩnh vực gia dụng và y tế khi có thay đổi về tên, địa chỉ của tổ chức, cá nhân chịu trách nhiệm và không thay đổi nội dung quảng cáo",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001114
"Cấp lại giấy xác nhận nội dung quảng cáo hóa chất, chế phẩm diệt côn trùng, diệt khuẩn dùng trong lĩnh vực gia dụng và y tế trong trường hợp hết hiệu lực tại Khoản 2 Điều 21 Thông tư số 09/2015/TT-BYT",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001178
"Cấp lại giấy xác nhận nội dung quảng cáo hóa chất, chế phẩm diệt côn trùng, diệt khuẩn dùng trong lĩnh vực gia dụng và y tế trong trường hợp bị mất hoặc hư hỏng",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001189
"Cấp giấy phép vận chuyển hàng nguy hiểm là hóa chất, chế phẩm diệt côn trùng, diệt khuẩn dùng trong lĩnh vực gia dụng và y tế bằng phương tiện giao thông cơ giới đường bộ",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002423
"Cấp giấy xác nhận nội dung quảng cáo hóa chất, chế phẩm diệt côn trùng, diệt khuẩn dùng trong lĩnh vực gia dụng và y tế",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002564
Cấp lại Bằng bảo hộ giống cây trồng,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000108
"Cấp thẻ tạm trú cho người nước ngoài tại Cục Quản lý xuất nhập cảnh, Bộ Công an",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003358
Cấp thẻ tạm trú cho người nước ngoài tại Việt Nam tại Công an cấp tỉnh,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003460
"Cấp Giấy chứng nhận chất lượng, an toàn kỹ thuật và bảo vệ môi trường cho kiểu loại linh kiện xe mô tô, xe gắn máy",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004983
"Cấp Giấy chứng nhận chất lượng an toàn kỹ thuật và bảo vệ môi trường trong sản xuất, lắp ráp các linh kiện sử dụng để lắp ô tô, rơ moóc và sơ mi rơ moóc",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.005002
"Khai quyết toán thuế tài nguyên đối với hoạt động khai thác dầu thô, khí thiên nhiên",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001408
"Khai thuế tài nguyên tạm tính đối với cơ sở khai thác dầu, khí",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000939
"Sửa đổi, bổ sung giấy phép bưu chính (Trung ương)",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004366
"Cấp thị thực điện tử theo đề nghị của cơ quan, tổ chức",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002756
"Cấp giấy phép xả nước thải vào công trình thủy lợi, trừ xả nước thải với quy mô nhỏ và không chứa chất độc hại, chất phóng xạ thuộc thẩm quyền cấp phép của Bộ Nông nghiệp và PTNT",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004008
"Cấp giấy phép xả nước thải vào công trình thủy lợi, trừ xả nước thải với quy mô nhỏ và không chứa chất độc hại, chất phóng xạ thuộc thẩm quyền cấp phép của UBND tỉnh",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004399
Cấp văn bản xác nhận thông báo hoạt động bưu chính (cấp tỉnh),dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004470
"cấp lại Giấy chứng nhận đăng ký hoạt động giám định chất lượng sản phẩm, hàng hóa",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003372
"Cấp lại Giấy chứng nhận đăng ký hoạt động chứng nhận chất lượng sản phẩm, hàng hóa",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001407
"Cấp lại giấy phép cho các hoạt động trong phạm vi bảo vệ công trình thủy lợi trong trường hợp bị mất, bị rách, hư hỏng thuộc thẩm quyền cấp phép của Bộ Nông nghiệp và Môi trường",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003660
"Cấp lại giấy phép cho các hoạt động trong phạm vi bảo vệ công trình thủy lợi trong trường hợp bị mất, bị rách, hư hỏng thuộc thẩm quyền cấp phép của UBND tỉnh.",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003921
"Đăng ký chào bán chứng khoán ra công chúng của công ty cổ phần hình thành sau quá trình hợp nhất, sáp nhập doanh nghiệp",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001701
Cấp Chứng nhận trường mầm non đạt kiểm định chất lượng giáo dục,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000715
Cấp Chứng nhận trường tiểu học đạt kiểm định chất lượng giáo dục,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000713
Hỗ trợ ăn trưa đối với trẻ em mẫu giáo,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001622
Thủ tục xác nhận đối với người bị thương đã chuyển ra ngoài quân đội chưa được giám định thương tật,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003067
"Thủ tục xác nhận đối với quân nhân, công nhân viên chức quốc phòng, người làm công tác cơ yếu bị thương",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002768
Phê duyệt kế hoạch lựa chọn nhà thầu,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.005305
Phê duyệt kế hoạch lựa chọn nhà thầu,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.002159
"Thay đổi tên gọi cơ quan chủ quản báo chí; tên gọi cơ quan báo chí; tên gọi kênh phát thanh, kênh truyền hình; địa điểm phát sóng; địa điểm trụ sở gắn với trung tâm tổng khống chế; phương thức truyền dẫn, phát sóng quy định trong giấy phép hoạt động phát thanh, giấy phép hoạt động truyền hình",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004085
"Cấp giấy phép sử dụng tần số và thiết bị vô tuyến điện đối với thiết bị phát thanh, truyền hình",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003831
Cấp giấy chứng nhận an toàn kỹ thuật tàu cá,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003563
"Cấp Giấy phép lưu hành xe quá tải trọng, xe quá khổ giới hạn, xe bánh xích, xe vận chuyển hàng siêu trường, siêu trọng trên đường bộ",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000028
Chuyển đổi công ty luật trách nhiệm hữu hạn và công ty luật hợp danh,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002251
Đăng ký danh mục báo chí nhập khẩu,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004514
"Thủ tục giao đất tại cảng hàng không, sân bay",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004747
Rút tiền ký quỹ của doanh nghiệp cho thuê lại lao động,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000414
Thủ tục xin thôi quốc tịch Việt Nam tại cơ quan đại diện Việt Nam ở nước ngoài,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001730
Chấp thuận cơ sở kinh doanh đào tạo thẩm tra viên an toàn giao thông đường bộ,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001666
"Thủ tục chứng thực văn bản thỏa thuận phân chia di sản mà di sản là động sản, quyền sử dụng đất, nhà ở",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001406
"Thủ tục cấp bản sao có chứng thực từ bản chính hợp đồng, giao dịch đã được chứng thực",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000942
"Cấp lại giấy xác nhận nội dung quảng cáo mỹ phẩm khi có thay đổi về tên, địa chỉ của tổ chức, cá nhân chịu trách nhiệm và không thay đổi nội dung quảng cáo",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000662
Cấp lại giấy xác nhận nội dung quảng cáo mỹ phẩm trong trường hợp hết hiệu lực tại Khoản 2 Điều 21 Thông tư số 09/2015/TT-BYT,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000793
Cấp lại giấy xác nhận nội dung quảng cáo mỹ phẩm trong trường hợp bị mất hoặc hư hỏng,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000990
Cấp giấy xác nhận nội dung quảng cáo mỹ phẩm,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002483
Thủ tục cấp mã số nhân viên đại lý làm thủ tục hải quan,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003591
Cấp số tiếp nhận Phiếu công bố sản phẩm mỹ phẩm nhập khẩu,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002088
"Cấp chứng chỉ năng lực hoạt động xây dựng hạng II, hạng III",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002766
Cấp chứng chỉ năng lực hoạt động xây dựng hạng I,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002776
"Thủ tục chứng thực việc sửa đổi, bổ sung, hủy bỏ hợp đồng, giao dịch",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000913
Cấp phép thi công nút giao đấu nối vào đường quốc lộ đang khai thác,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001061
"thủ tục xác minh tài sản, thu nhập",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001905
"Cấp Giấy xác nhận kiến thức về an toàn thực phẩm cho chủ cơ sở và người trực tiếp sản xuất, kinh doanh thực phẩm nông, lâm, thủy sản",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001832
"Thẩm định, phê duyệt đánh giá an ninh cảng biển",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001084
"Công bố mở luồng, tuyến đường thuỷ nội địa chuyên dùng nối với đường thủy nội địa địa phương",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001529
Thủ tục cấp Giấy phép sử dụng vật liệu nổ công nghiệp,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003093
Thủ tục cấp lại Giấy chứng nhận huấn luyện kỹ thuật an toàn vật liệu nổ công nghiệp thuộc thẩm quyền giải quyết của Bộ Quốc phòng,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=3.000016
Thủ tục cấp lại Giấy chứng nhận huấn luyện kỹ thuật an toàn tiền chất thuốc nổ thuộc thẩm quyền giải quyết của Bộ Quốc phòng,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=3.000018
Thủ tục đăng ký công dân Việt Nam ở nước ngoài,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000476
"Cấp Giấy chứng nhận khả năng chuyên môn thủy thủ trực ca, thợ máy trực ca, thợ kỹ thuật điện; Giấy chứng nhận khả năng chuyên môn cho thuyền viên Việt Nam đã có Giấy chứng nhận khả năng chuyên môn do cơ quan có thẩm quyền nước ngoài cấp",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002472
Thủ tục thẩm định tổ chức lại đơn vị sự nghiệp công lập,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003693
Thủ tục thẩm định thành lập đơn vị sự nghiệp công lập,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003719
Thủ tục thẩm định giải thể đơn vị sự nghiệp công lập,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003735
Thủ tục thẩm định việc giải thể đơn vị sự nghiệp công lập,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003817
"Thủ tục thẩm định tổ chức lại đơn vị sự nghiệp công lập thuộc thẩm quyền quyết định của Chính phủ, Thủ tướng Chính phủ",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003854
"Thủ tục cấp Giấy phép sử dụng vật liệu nổ công nghiệp đối với đơn vị quân đội không phải là doanh nghiệp phục vụ thi công các công trình quốc phòng, an ninh",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001198
"Thủ tục cấp Giấy phép sử dụng vật liệu nổ công nghiệp đối với tổ chức, doanh nghiệp làm dịch vụ nổ mìn",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002887
Cấp phép thi công công trình đường bộ trên quốc lộ đang khai thác,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001087
Thủ tục cấp bản sao trích lục giấy tờ hộ tịch tại Bộ Ngoại giao,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000578
Cấp lại Giấy phép hoạt động cho thuê lại lao động,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000448
Gia hạn Giấy phép hoạt động cho thuê lại lao động,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000464
"Cấp thẻ kiểm soát an ninh cảng hàng không, sân bay có giá trị sử dụng ngắn hạn",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003294
"Cấp giấy phép, gia hạn, bổ sung, phục hồi năng định nhân viên kiểm soát an ninh hàng không",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002926
Cấp Giấy phép trang bị công cụ hỗ trợ tại Cục Cảnh sát quản lý hành chính về trật tự xã hội - Bộ Công an,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000673
"Cấp Giấy phép trang bị vũ khí quân dụng tại Phòng Cảnh sát quản lý hành chính về trật tự xã hội Công an tỉnh, thành phố trực thuộc trung ương",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000374
Cấp Giấy phép trang bị vũ khí quân dụng tại Cục Cảnh sát quản lý hành chính về trật tự xã hội - Bộ Công an,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000615
Cấp Giấy phép trang bị vũ khí thô sơ tại Cục Cảnh sát quản lý hành chính về trật tự xã hội - Bộ Công an,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002207
"Cấp Giấy phép trang bị vũ khí thể thao tại Công an tỉnh, thành phố trực thuộc trung ương",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000445
Cấp Giấy phép trang bị vũ khí thể thao tại Cục Cảnh sát quản lý hành chính về trật tự xã hội - Bộ Công an,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000622
Cấp Giấy xác nhận đăng ký công cụ hỗ trợ tại Cục Cảnh sát quản lý hành chính về trật tự xã hội - Bộ Công an,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002106
Cấp Giấy phép sử dụng công cụ hỗ trợ tại Cục Cảnh sát quản lý hành chính về trật tự xã hội - Bộ Công an,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000577
Cho phép họp báo trong nước (Trung ương),dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000383
"Cấp Giấy phép mang vũ khí, công cụ hỗ trợ ra khỏi lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam tại Cục Cảnh sát quản lý hành chính về trật tự xã hội - Bộ Công an",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000275
"Cấp Giấy phép mang vũ khí, công cụ hỗ trợ vào, ra lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam tại Cục Cảnh sát quản lý hành chính về trật tự xã hội - Bộ Công an",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000325
Cấp lại giấy chứng nhận đủ điều kiện đảm bảo an toàn cho chữ ký số chuyên dùng,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001126
Thay đổi nội dung giấy chứng nhận đủ điều kiện đảm bảo an toàn cho chữ ký số chuyên dùng,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002691
Cấp lại giấy chứng nhận đăng ký hoạt động của tổ chức cung cấp dịch vụ chứng thực chữ ký số chuyên dùng,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001133
Cấp giấy chứng nhận đăng ký hoạt động của tổ chức cung cấp dịch vụ chứng thực chữ ký số chuyên dùng,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.002177
Cấp giấy chứng nhận đủ điều kiện đảm bảo an toàn cho chữ ký số chuyên dùng,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.005447
"Đăng ký hoạt động xuất bản, phát hành xuất bản phẩm điện tử",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004340
"Cấp, gia hạn Chứng chỉ hành nghề thú y thuộc thẩm quyền của Cục Chăn nuôi và Thú y (gồm: Sản xuất, kiểm nghiệm, khảo nghiệm, xuất khẩu, nhập khẩu thuốc thú y)",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004756
Cấp Giấy chứng nhận cơ sở an toàn dịch bệnh (trên cạn hoặc thủy sản) đối với cơ sở có nhu cầu chuyển đổi Giấy chứng nhận do Chi cục Thú y cấp sang Giấy chứng nhận do Cục Thú y cấp,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002481
"Cấp lại, đổi, điều chỉnh thông tin trên sổ BHXH, thẻ BHYT",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002759
Cấp Giấy chứng nhận cơ sở an toàn dịch bệnh động vật trên cạn đối với cơ sở có nhu cầu bổ sung nội dung chứng nhận,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003589
Cấp lại Giấy chứng nhận cơ sở an toàn dịch bệnh động vật trên cạn,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003810
Cấp Giấy chứng nhận vùng an toàn dịch bệnh động vật trên cạn,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002452
Cấp Giấy chứng nhận cơ sở an toàn dịch bệnh động vật trên cạn (Cấp Tỉnh),dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003781
Cấp Giấy chứng nhận cơ sở an toàn dịch bệnh động vật trên cạn,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003991
"Cấp đổi Giấy chứng nhận vùng, cơ sở an toàn dịch bệnh động vật (trên cạn hoặc thủy sản)",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.005307
"Cấp lại Giấy chứng nhận vùng, cơ sở an toàn dịch bệnh động vật (trên cạn và thủy sản) đối với vùng, cơ sở có Giấy chứng nhận hết hiệu lực do xảy ra bệnh hoặc phát hiện mầm bệnh tại vùng, cơ sở đã được chứng nhận an toàn hoặc do không thực hiện giám sát, lấy mẫu đúng, đủ số lượng trong quá trình duy trì điều kiện vùng, cơ sở sau khi được chứng nhận",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003502
Thủ tục cấp giấy đăng ký lưu hành thuốc cổ truyền nhập khẩu phải thử lâm sàng,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000945
Thủ tục cấp giấy đăng ký lưu hành thuốc cổ truyền trong nước miễn thử lâm sàng hoặc miễn một số giai đoạn thử thuốc trên lâm sang,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000964
